Time,Cd,Cd(f),Cd(r),Cl,Cl(f),Cl(r),CmPitch,CmRoll,CmYaw,Cs,Cs(f),Cs(r)
35.0,0.1208354,-0.9765155,1.097351,-1.563461,-0.2338223,-1.329639,0.5479084,-1.036933,-0.03587102,0.06254924,-0.004596398,0.06714564
36.0,0.1186909,-0.9762479,1.094939,-1.561858,-0.2354348,-1.326423,0.545494,-1.035593,-0.03402613,0.06353834,-0.002256959,0.0657953
37.0,0.1172497,-0.9754773,1.092727,-1.559849,-0.2369885,-1.32286,0.5429358,-1.034102,-0.03276889,0.06423674,-0.0006505156,0.06488726
38.0,0.1163327,-0.9742975,1.09063,-1.55752,-0.2385865,-1.318933,0.5401735,-1.032464,-0.0319397,0.06470895,0.0004147795,0.06429417
39.0,0.1157222,-0.9728909,1.088613,-1.555063,-0.2402594,-1.314803,0.537272,-1.030752,-0.0313516,0.06503216,0.001164479,0.06386768
40.0,0.1152192,-0.9714501,1.086669,-1.552679,-0.2419886,-1.31069,0.5343509,-1.02906,-0.03083741,0.06527858,0.001801874,0.0634767
41.0,0.1146788,-0.9701253,1.084804,-1.550518,-0.2437304,-1.306788,0.5315286,-1.027465,-0.03027848,0.06550428,0.002473663,0.06303062
42.0,0.114023,-0.9690011,1.083024,-1.548654,-0.2454349,-1.303219,0.5288919,-1.026013,-0.02961444,0.06574473,0.003257926,0.0624868
43.0,0.1132355,-0.9680993,1.081335,-1.54709,-0.2470586,-1.300031,0.5264863,-1.024717,-0.02883742,0.06601563,0.004170397,0.06184524
44.0,0.1123439,-0.9673954,1.079739,-1.545783,-0.2485699,-1.297213,0.5243214,-1.023567,-0.02797647,0.06631735,0.005182207,0.06113514
45.0,0.1113991,-0.9668439,1.078243,-1.54467,-0.2499498,-1.294721,0.5223854,-1.022543,-0.02707897,0.06664054,0.006241294,0.06039924
46.0,0.1104556,-0.9664022,1.076858,-1.543701,-0.2511887,-1.292512,0.5206617,-1.02163,-0.02619414,0.0669717,0.00729171,0.05967999
47.0,0.1095588,-0.9660452,1.075604,-1.542849,-0.2522837,-1.290566,0.519141,-1.020825,-0.0253617,0.06729749,0.008287042,0.05901045
48.0,0.1087386,-0.9657713,1.07451,-1.542122,-0.2532351,-1.288887,0.5178258,-1.020141,-0.02460648,0.0676074,0.009197226,0.05841018
49.0,0.1080085,-0.9655999,1.073608,-1.541551,-0.2540457,-1.287506,0.5167299,-1.019604,-0.02393799,0.06789492,0.01000947,0.05788545
